Setting,Symbol_or_definition,Value,Notes
Scan-rate set used for CV waveform analysis,nu,"5, 10, 20, 30, 40, 50 mV s^-1",Six scan rates used in Sections 3.2–3.3 and in the Figure S5/Figure S6 reconstructions.
Binary kinetic labels,"s_i in {-1,+1}",+1 = CD; -1 = DD,CD = capacitive-dominated; DD = diffusion-dominated.
Ising smoothness parameter,J,0.30,Nearest-neighbor regularization used in the 1D Ising-type segmentation.
b-value weighting coefficient,w_b,1.0,Weight of the robustly normalized b-value profile in the local field.
Local capacitive-fraction weighting coefficient,w_chi,1.0,Weight of the robustly normalized local capacitive fraction in the local field.
Reference value for normalized b-term,b_ref,0.0,Applied after robust normalization.
Reference value for normalized capacitive-fraction term,chi_ref,0.0,Applied after robust normalization.
Local capacitive-fraction definition,chi_loc(V),scan-rate average of k1(V)nu / [k1(V)nu + k2(V)nu^1/2],"Computed from the uploaded Dunn-partition data and clipped to [0,1]."
Robust normalization method,x_tilde = (x - median)/IQR,Median/IQR scaling,Used for both b(V) and chi_loc(V) before constructing h_i.
Number of inferred kinetic-regime transitions,—,4,Obtained in the current Figure S5 reconstruction.
Common anodic potential grid for Q-KPCA,M,80 points,Uniform shared grid used to interpolate the anodic CV branches.
Potential-window definition for Q-KPCA,V_grid,Intersection of all anodic branches,The common potential interval shared by all six scan-rate traces.
Angle-encoding range,phi,"[0, pi/2]",Used for numerically stable positive cosine factors in the kernel.
Kernel form,K_mn,Cosine-product kernel,Constructed from the angle-encoded anodic waveform descriptors.
Kernel stabilization,log-product evaluation,cos terms clipped at 1e-12,Prevents numerical underflow when multiplying many cosine factors.
Kernel centering,K_c = K - 1K - K1 + 1K1,Applied,Centered-kernel matrix used for eigendecomposition.
Number of Q-KPCA components exported,"QKPCA1, QKPCA2",2,Leading latent coordinates saved for the current Figure S6 reconstruction.
